video_id,video_path,begin_frame,end_frame,captions,subject,predicate,object
v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,0,145.5599976,A woman and a man are sitting on the sidewalk playing music.,woman,sitting,music
v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,67.68000031,72.77999878, People stand next to them and watch them play.,People,stand,them
v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,82.97000122,87.33000183, A little boy holding a yellow ball walks by.,,boy,walks
v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,98.98000336,103.3399963, A man poses for a picture in front of them.,man,poses,picture
v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,1.889999986,31.26000023,A young girl is seen sitting in a chair with a person standing next to her.,girl,seen,chair
v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,29.36000061,71.51000214, The person next to her then piercing one ear followed by the other.,person,followed,her
v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,55.40999985,91.40000153, The person rubs lotion on the piercings afterwards.,person,rubs,lotion
v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,0,17.70000076,A woman is shown riding a camel past pyramids in Egypt.,woman,shown,camel
v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,19.61000061,88.01000214, The camel walks as the woman leans forward.,woman,walks,
v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,90.87999725,95.66999817, And hand covers the lens as the harness is shown.,hand,covers,lens
v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,0,85.18000031,A child mops the floor of a hallway in a house.,child,mops,floor
v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,27.53000069,43.02000046, The child sets the mop down and plays with her family member.,child,sets,mop
v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,86.04000092,168.6399994, The child walks into the bedroom area and continues to mop the floor.,child,walks,area
v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,0,40.77000046,A man is seen kneeling down on the floor speaking to the camera.,man,seen,floor
v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,41.84999847,119.0999985, The man mixes up various ingredients and begins laying plaster on the floor.,man,mixes,ingredients
v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,96.56999969,170.6100006, He measures the floor and tiles and cuts out a piece of tile to lay on the floor.,He,measures,floor
v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,168.4600067,214.6000061, He continues laying tiles on the floor while looking back to speak to the camera.,He,continues,tiles
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,0,14.82999992,Two lines of young men are walking side by side down a road.,lines,walking,men
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,74.16000366,107.5299988,"Shortly after, a field of men are shown and they begin playing a game against one another.",field,shown,men
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,15.56999969,32.63000107,Then one man stands in a field holding a wooden object and begins twisting it.,man,stands,field
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,32.63000107,44.5,He then bends down and grabs a ball.,He,bends,ball
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,106.0500031,130.5200043,There was a penalty and one players attempts to hit the ball into the goal from the side.,players,was,ball
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,44.5,65.26000214,"After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.",ball,placed,ground
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,66.73999786,72.68000031,The ball is thrown back and he its it again.,ball,thrown,
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,129.7799988,137.9400024,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",everyone,pictured,ground
v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,137.9400024,148.3200073,"Lastly,the screen flashes to a black screen and the words The End are shown.",End,flashes,screen
v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,0,22.67000008,A woman wearing overalls is talking to the camera.,woman,talking,overalls
v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,22.67000008,179.1100006," She lays out wrapping paper, showing how to wrap a toy in it.",She,lays,paper
v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,182.5099945,226.7200012," She wraps it around the toy, then tapes it up.",She,tapes,it
v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,0,10.31000042,A man in a suit is sitting behind a desk.,man,sitting,suit
v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,17.67000008,137.6900024, People are playing lacrosse on a field of grass.,People,playing,field
v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,120.0199966,125.1699982, A person in a yellow uniform is standing in front of a net blocking balls.,person,standing,uniform
v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,0,19.29000092,A girl is seen climbing across a set of monkey bars followed by her waving to the camera.,girl,seen,set
v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,19.98999977,47.04000092, She climbs her way back on the bars and jumps down mid way through.,She,climbs,bars
v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,0,75.08999634,A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.,,pans,area
v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,75.08999634,238.3800049, The man zooms in on himself riding down the hill and ends with him turning off the camera.,man,zooms,himself
v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,0,14.31000042,A playroom is seen followed by a young boy sliding down a slide and climbing back up again.,playroom,seen,boy
v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,14.31000042,65.04000092," He slides down again, this time landing on his back, and continues to slide down several more times.",He,slides,back
v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,0,157.3200073,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,man,sitting,couches
v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,0,29.88999939,The man is talking this whole time while the woman gets comfortable on her couch and the woman briefly talks.,man,talks,couch
v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,0,16.52000046,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,picks,clipboard
v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,152.6000061,157.3200073, When the clips end the man and woman on the couch begin talking and she puts her clipboard down.,clips,end,couch
v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,29.88999939,152.6000061,"Various clips begin to play and it briefly shows parts of a city, then most of it is of men outdoors and playing soccer on sand in a middle of city, and occasionally blue words pop up on the screen when certain plays in the game are made.",clips,begin,parts
v_lZKrd84QElk,https://www.youtube.com/watch?v=lZKrd84QElk,0.660000026,18.76000023,The former president is seen walking in a large field next to a woman and surrounded by a large crowd.,president,seen,field
v_lZKrd84QElk,https://www.youtube.com/watch?v=lZKrd84QElk,16.79000092,56.93999863, The man gives a speech while people cheering and he shakes hands with others.,man,gives,speech
v_lZKrd84QElk,https://www.youtube.com/watch?v=lZKrd84QElk,45.75,65.16999817, The man then shares a beer with other people around him.,man,shares,beer
v_6lYTHj9vImo,https://www.youtube.com/watch?v=6lYTHj9vImo,0,15.32999992,"Four kids are outside in the beach playing in the sand,two boys on the left and two girls on the right.",kids,are,playing
v_6lYTHj9vImo,https://www.youtube.com/watch?v=6lYTHj9vImo,15.93000031,34.27000046,The girls have about six sand castles and a large circle surrounding it filled with water.,girls,have,castles
v_6lYTHj9vImo,https://www.youtube.com/watch?v=6lYTHj9vImo,34.56999969,49.59999847,They then take off running to the beach to grab more water as the boy comes and looks at their work.,They,take,beach
v_6lYTHj9vImo,https://www.youtube.com/watch?v=6lYTHj9vImo,49,60.11999893,"Once they are done,both of the girls take off running to the water but then stop midway to come back and get their floats.",they,take,girls
v_E3QtX6r9QX0,https://www.youtube.com/watch?v=E3QtX6r9QX0,0,36.18000031,A large pile of leaves are seen being blown around with shots of a blower being shown.,pile,seen,leaves
v_E3QtX6r9QX0,https://www.youtube.com/watch?v=E3QtX6r9QX0,19.12000084,103.3700027, the leaves continue to be shown blowing around as well as a machine sitting off in the distance.,leaves,continue,machine
v_iYxj8a1TPYk,https://www.youtube.com/watch?v=iYxj8a1TPYk,0,84.20999908,A basketball player is seen dribbling a ball in various shots for the camera and leads into the player making baskets over and over again.,player,seen,ball
v_iYxj8a1TPYk,https://www.youtube.com/watch?v=iYxj8a1TPYk,83.43000031,157.4100037, The man is then seen speaking to the camera and transitions into him scoring several more baskets.,man,seen,camera
v_cp52LdlmlUk,https://www.youtube.com/watch?v=cp52LdlmlUk,0,129.9600067,People are standing in a room working out.,People,standing,room
v_cp52LdlmlUk,https://www.youtube.com/watch?v=cp52LdlmlUk,17.54999924,129.9600067, They continue working out in the room.,They,continue,room
v_cp52LdlmlUk,https://www.youtube.com/watch?v=cp52LdlmlUk,5.199999809,129.9600067, They are stepping up and down on small stepping stools.,They,stepping,stools
v_bpg2PC2neQM,https://www.youtube.com/watch?v=bpg2PC2neQM,0,32.79999924,A black and white video is being played of people playing lacrosse on a field.,video,played,people
v_bpg2PC2neQM,https://www.youtube.com/watch?v=bpg2PC2neQM,88.56999969,218.6999969," The video includes numerous clips of players in lacrosse games, hitting the ball toward opposing goals.",video,includes,clips
v_bpg2PC2neQM,https://www.youtube.com/watch?v=bpg2PC2neQM,38.27000046,83.11000061, It then turns back to color and splits into multiple frames and speeds.,It,turns,color
v_RgzbNJPchqc,https://www.youtube.com/watch?v=RgzbNJPchqc,0,69.23999786,A man is playing the bagpipes in front of people.,man,playing,bagpipes
v_RgzbNJPchqc,https://www.youtube.com/watch?v=RgzbNJPchqc,38.08000183,60.59000015, The people on the couch in front of him start laughing.,people,start,couch
v__zHSfEhEqkU,https://www.youtube.com/watch?v=_zHSfEhEqkU,0,64.13999939,A man is seen padding a canoe along the water while the camera captures him from several angles.,man,seen,canoe
v__zHSfEhEqkU,https://www.youtube.com/watch?v=_zHSfEhEqkU,55.38999939,194.3500061, The man continues riding around followed by performing several ways to turn the canoe around.,man,continues,ways
v_dAjhBWalWRM,https://www.youtube.com/watch?v=dAjhBWalWRM,0,32.09000015,A group of people stand in front of a blackjack table.,group,stand,people
v_dAjhBWalWRM,https://www.youtube.com/watch?v=dAjhBWalWRM,0.800000012,30.80999947, The blackjack attendant places cards on the table.,,cards,table
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,1.460000038,4.730000019,Two men in padded sumo costumes are pulled along a tug rope on a ski slope.,men,pulled,costumes
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,6.190000057,72.80000305, Two men in yellow padded sumo costumes do jumps on their snowboard on a downhill course.,men,jumps,costumes
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,51.31999969,53.13999939, The two men give each other a high five.,men,give,five
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,38.95000076,40.40000153, A filmer waives to the camera.,,waives,camera
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,58.59999847,61.15000153, A man on small skis crashes while trying to jump.,,man,crashes
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,43.68000031,51.31999969, The man spins while sliding across a platform in the sumo suit.,man,spins,platform
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,61.50999832,65.87999725, The man jumps onto and slide across a platform while wearing a sumo suit.,man,jumps,platform
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,56.04999924,58.59999847, The man in sumo suit goes over a small triangular obstacle.,man,goes,suit
v_zihMznAYlV0,https://www.youtube.com/watch?v=zihMznAYlV0,66.23999786,67.33999634, The man bounces over a low railing.,man,bounces,railing
v_---9CpRcKoU,https://www.youtube.com/watch?v=---9CpRcKoU,0,1.620000005,A man was sitting inside a room.,man,sitting,room
v_---9CpRcKoU,https://www.youtube.com/watch?v=---9CpRcKoU,1.75999999,8.579999924, He is holding a bowl of noodles and broth.,He,holding,bowl
v_---9CpRcKoU,https://www.youtube.com/watch?v=---9CpRcKoU,8.869999886,14.06999969, He is drinking the broth from a bowl.,He,drinking,broth
v_epqnpUCVLK8,https://www.youtube.com/watch?v=epqnpUCVLK8,0,5.070000172,A little boy is laying on an exercise ball.,boy,laying,ball
v_epqnpUCVLK8,https://www.youtube.com/watch?v=epqnpUCVLK8,5.070000172,13.60999966, The boy falls of and gets back on the ball before he falls off again.,boy,falls,ball
v_epqnpUCVLK8,https://www.youtube.com/watch?v=epqnpUCVLK8,13.60999966,24.37999916, He tries to sit on the ball but the ball rolls away.,He,tries,ball
v_epqnpUCVLK8,https://www.youtube.com/watch?v=epqnpUCVLK8,30.07999992,61.74000168, He retrieves it and continues to sit on and fall off the ball.,He,retrieves,it
v_GFE2wAi9fjo,https://www.youtube.com/watch?v=GFE2wAi9fjo,0,17.14999962,A woman puts a pair of shoes on while sitting in an office chair.,woman,puts,pair
v_GFE2wAi9fjo,https://www.youtube.com/watch?v=GFE2wAi9fjo,6.599999905,17.14999962, The woman buckles her shoes.,woman,buckles,shoes
v_W19-fYOO9sg,https://www.youtube.com/watch?v=W19-fYOO9sg,0,32.88000107,A close up of a bike wheel is seen that leads into a person's hands pushing on the tire.,close,seen,wheel
v_W19-fYOO9sg,https://www.youtube.com/watch?v=W19-fYOO9sg,30.92000008,72.62999725, The person uses a tool along the tire to help move it along.,person,uses,tool
v_W19-fYOO9sg,https://www.youtube.com/watch?v=W19-fYOO9sg,65.76000214,95.69999695, The person finally pushes the tire along it's sides.,person,pushes,tire
v_m22TDwfa8go,https://www.youtube.com/watch?v=m22TDwfa8go,0,23.89999962,A woman is seen talking to the camera and presenting various liquids to the camera.,woman,seen,camera
v_m22TDwfa8go,https://www.youtube.com/watch?v=m22TDwfa8go,23.89999962,52.40000153, She ready's the tip of a glass and dips the glass into sugar on a plate.,She,"""s""",glass
v_m22TDwfa8go,https://www.youtube.com/watch?v=m22TDwfa8go,54.24000168,136.0500031, She pours various liquids into a mixer and shakes the mixture all together.,She,pours,liquids
v_m22TDwfa8go,https://www.youtube.com/watch?v=m22TDwfa8go,136.0500031,183.8600006, She pours the drink out into the glass while still speaking to the camera.,She,pours,drink
v_V_Nj_BhesEY,https://www.youtube.com/watch?v=V_Nj_BhesEY,0,13.72000027,Three people stand by the corner of a building.,people,stand,corner
v_V_Nj_BhesEY,https://www.youtube.com/watch?v=V_Nj_BhesEY,14.14000034,17.04999924," One of the persons, a young boy, takes a bow.",One,takes,persons
v_V_Nj_BhesEY,https://www.youtube.com/watch?v=V_Nj_BhesEY,0,83.15000153, A crowd of people watch him.,crowd,watch,people
v_V_Nj_BhesEY,https://www.youtube.com/watch?v=V_Nj_BhesEY,17.45999908,83.15000153," He proceeds to perform various karate moves, such as bowing, cartwheels and flips.",He,proceeds,moves
v_p9iE8iemCMs,https://www.youtube.com/watch?v=p9iE8iemCMs,10.09000015,123.8199997,A person is holding a flute.,person,holding,flute
v_p9iE8iemCMs,https://www.youtube.com/watch?v=p9iE8iemCMs,42.38999939,72.66999817,  The person shows a fingering for the second octave of the note.,person,shows,fingering
v_p9iE8iemCMs,https://www.youtube.com/watch?v=p9iE8iemCMs,74.01999664,89.5,  The person shows the fingering on the third octave.,person,shows,fingering
v_p9iE8iemCMs,https://www.youtube.com/watch?v=p9iE8iemCMs,92.86000061,123.1399994,  The woman talks directly to the camera.,woman,talks,camera
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,2.779999971,7.420000076,The screen shows the title of preparing a Chilean Hulte salad dish.,screen,shows,title
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,7.420000076,14.84000015, A person is mixing salad ingredients in a large bowl.,person,mixing,ingredients
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,143.75,154.8800049, Then the chef places the ingredients in a salad bowl.,chef,places,ingredients
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,95.51999664,107.5800018, The chef is showing hulte placed on a kitchen counter.,chef,showing,hulte
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,107.5800018,116.8499985, The chef is slicing the hulte in circular bite size pieces.,chef,slicing,hulte
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,134.4700012,143.75, The chef chops some cilantro on the kitchen counter.,chef,chops,cilantro
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,14.84000015,22.26000023, There is information shown about Dr.,,is,Dr.
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,22.26000023,28.75, Rachel Collin's trip to Chile.,,trip,Chile
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,28.75,63.99000168, There are several people standing under a canopy at a food market.,,are,canopy
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,63.99000168,95.51999664, Two customers make a purchase and give money to the seller and give the camera a thumbs up.,customers,make,purchase
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,116.8499985,134.4700012, A woman eats the cut pieces of hulte.,woman,eats,pieces
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,154.8800049,166.0099945," The finished product is shown on screen, followed by a group of people sitting together and enjoying the salad.",product,shown,screen
v_fN2DiOswmOA,https://www.youtube.com/watch?v=fN2DiOswmOA,166.0099945,185.4799957, The end credits are displayed on the screen.,credits,displayed,screen
v_37pwbUp8t1I,https://www.youtube.com/watch?v=37pwbUp8t1I,0,199.0399933,Hiphop dancers perform in front of a crowd.,dancers,perform,front
v_37pwbUp8t1I,https://www.youtube.com/watch?v=37pwbUp8t1I,59.00999832,199.0399933,  They are all doing the same basic dance and having pictures taken of them.,They,doing,dance
v_TmI9MxCDBMw,https://www.youtube.com/watch?v=TmI9MxCDBMw,0,32.63000107,A murky river is shown next to a row of trees.,river,shown,row
v_TmI9MxCDBMw,https://www.youtube.com/watch?v=TmI9MxCDBMw,34.54999924,142.9900055, A bunch of people on intertubes go by slowly.,bunch,go,people
v_TmI9MxCDBMw,https://www.youtube.com/watch?v=TmI9MxCDBMw,149.7100067,191.9400024, Then we see rapid waters as the tubers go over small falls.,we,see,waters
v_4x7HYKV8zkY,https://www.youtube.com/watch?v=4x7HYKV8zkY,0,26.09000015,Three girls are on the beach talking.,girls,are,beach
v_4x7HYKV8zkY,https://www.youtube.com/watch?v=4x7HYKV8zkY,26.09000015,65.5, They do several flips on the beach.,They,do,flips
v_4x7HYKV8zkY,https://www.youtube.com/watch?v=4x7HYKV8zkY,62.02999878,71.30000305, They lift one of the girls up for a stunt.,They,lift,one
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,0,10.44999981,The camera pans above lush and green terrain over what looks like a mountain range.,what,pans,lush
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,10.44999981,48.77999878, A man is shown covered in sweat and then jumping across various hills performing stunts on a dirt bike.,man,shown,sweat
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,48.77999878,73.16999817, He rotates and flips and performs all sorts of acrobatics.,He,rotates,sorts
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,73.16999817,80.13999939, He is highly skilled and jumping over everything.,He,is,everything
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,80.13999939,173.0599976, The video then shows multiple men on dirt bikes jumping in various different places and shows the action from  a variety of angles.,video,shows,men
v__Af_9cK5x4E,https://www.youtube.com/watch?v=_Af_9cK5x4E,171.8999939,232.2899933, The men continue performing their stuns in various other landscapes.,men,continue,stuns
v_y5j9TqTy9Xw,https://www.youtube.com/watch?v=y5j9TqTy9Xw,0,7.619999886,A woman is walking along a track.,woman,walking,track
v_y5j9TqTy9Xw,https://www.youtube.com/watch?v=y5j9TqTy9Xw,9.640000343,29.37000084, She takes off at a fast run.,She,takes,run
v_y5j9TqTy9Xw,https://www.youtube.com/watch?v=y5j9TqTy9Xw,30.70999908,44.84000015, She jumps over a bar and onto a mat.,She,jumps,bar
v_Kp7pUEKrb8Q,https://www.youtube.com/watch?v=Kp7pUEKrb8Q,10.76000023,13,A person is slicing limes on a board.,person,slicing,limes
v_Kp7pUEKrb8Q,https://www.youtube.com/watch?v=Kp7pUEKrb8Q,15.68999958,63.18999863, They put the limes and sugar into a blender.,They,put,limes
v_Kp7pUEKrb8Q,https://www.youtube.com/watch?v=Kp7pUEKrb8Q,64.98000336,66.33000183, They strain the juice and pour it into a jar.,They,strain,juice
v_Kp7pUEKrb8Q,https://www.youtube.com/watch?v=Kp7pUEKrb8Q,68.56999969,80.22000122, They put a straw and a lime wedge on the rim of the glass.,They,put,straw
v_5lre5zbUV1Q,https://www.youtube.com/watch?v=5lre5zbUV1Q,0,33.59999847,A child scrubs out the kitchen sink using a brush.,child,scrubs,sink
v_5lre5zbUV1Q,https://www.youtube.com/watch?v=5lre5zbUV1Q,36.68000031,69.51000214, The child uses the faucet nozzle to rinse out the sink.,child,uses,nozzle
v_5lre5zbUV1Q,https://www.youtube.com/watch?v=5lre5zbUV1Q,34.36999893,38.22999954, The boy turns on the sink faucet.,boy,turns,faucet
v_5lre5zbUV1Q,https://www.youtube.com/watch?v=5lre5zbUV1Q,69.88999939,73.37000275, The boy returns the sink nozzle to the faucet and turns off the water.,boy,returns,nozzle
v_huFuRGoZt9I,https://www.youtube.com/watch?v=huFuRGoZt9I,0,13.19999981,A dealer is shown laying out cards on a table while other people's hands are shown on the side.,dealer,shown,cards
v_huFuRGoZt9I,https://www.youtube.com/watch?v=huFuRGoZt9I,13.77999973,23.36000061, The person then lays out cards while another person lays out their chips.,person,lays,cards
v_CmEQjszPDrg,https://www.youtube.com/watch?v=CmEQjszPDrg,0,40.86000061,Several people are outside with running equipment and numbers pinned to them jogging at a slow pace at what seams to be a Marathon or a 5k.,people,are,equipment
v_CmEQjszPDrg,https://www.youtube.com/watch?v=CmEQjszPDrg,40.86000061,138.0299988,"A lady dressed in all black however,seems to be the focal point throughout the video and she is walking at an extremely slow pace for the whole time.",lady,seems,black
v_CmEQjszPDrg,https://www.youtube.com/watch?v=CmEQjszPDrg,139.1300049,220.8500061,After the crowd is shown and more people are seen running through the city or even participating in a wheel chair as the people on the side cheer them on.,crowd,shown,city
v_RULNhPrXnfA,https://www.youtube.com/watch?v=RULNhPrXnfA,0,23.44000053,A man is shown standing in front of a blue background as many harmonicas are shown and he starts playing them.,man,shown,front
v_RULNhPrXnfA,https://www.youtube.com/watch?v=RULNhPrXnfA,23.44000053,33.75999832, He is then shown speaking into the camera and going into detail with regards to the products features.,He,shown,camera
v_RULNhPrXnfA,https://www.youtube.com/watch?v=RULNhPrXnfA,32.81999969,45.95000076, He shows off how many he has in his coat and continues talking.,He,shows,many
v_RULNhPrXnfA,https://www.youtube.com/watch?v=RULNhPrXnfA,45.95000076,151.9100037, He is then shown playing another harmonica as he gives instruction on it.,He,shown,harmonica
v_RULNhPrXnfA,https://www.youtube.com/watch?v=RULNhPrXnfA,150.9799957,187.5500031," He speaks some more and shows his harmonica again as the video goes to an end title screen that reads Howcast original"".",He,speaks,more
v_Zd22n1caVgM,https://www.youtube.com/watch?v=Zd22n1caVgM,0,31.51000023,A boy wearing white shorts is standing in a room.,boy,standing,shorts
v_Zd22n1caVgM,https://www.youtube.com/watch?v=Zd22n1caVgM,7.150000095,7.800000191, He puts something in his mouth.,He,puts,something
v_Zd22n1caVgM,https://www.youtube.com/watch?v=Zd22n1caVgM,15.59000015,16.56999969, He kicks his legs up to the side.,He,kicks,legs
v_Zd22n1caVgM,https://www.youtube.com/watch?v=Zd22n1caVgM,21.12000084,26.63999939, The kneels down onto the ground.,,kneels,ground
v_ZKP5J7OKEvI,https://www.youtube.com/watch?v=ZKP5J7OKEvI,0,119.0400009,A small group of people are seen sitting on the side and lead into two people dancing together.,group,seen,people
v_ZKP5J7OKEvI,https://www.youtube.com/watch?v=ZKP5J7OKEvI,53.86999893,169.4299927, The people continue dancing along the floor and end by clapping with the band.,people,continue,floor
v_44BfVJnhBgc,https://www.youtube.com/watch?v=44BfVJnhBgc,0,159.7299957,A runner tests a prosthetic leg in a long distance run.,runner,tests,leg
v_44BfVJnhBgc,https://www.youtube.com/watch?v=44BfVJnhBgc,65.41999817,159.7299957, He runs inside then runs outside.,He,runs,
v_VFOjLDa5VtA,https://www.youtube.com/watch?v=VFOjLDa5VtA,0,14.63000011,A small group of people are seen wandering around a tennis court hitting a ball over the net.,group,seen,people
v_VFOjLDa5VtA,https://www.youtube.com/watch?v=VFOjLDa5VtA,14.86999989,37.06000137, The people hit the ball back and fourth while others watch on the side.,people,hit,ball
v_VFOjLDa5VtA,https://www.youtube.com/watch?v=VFOjLDa5VtA,29.5,47.54000092, They continue to play the game as well as others.,They,continue,game
